Bacteria,Cast system,Target,CFU
AF,pBLlSh2,2300.3,53315.56148
AF,pKSh2,2511.3,23101.64725
AF,pKSh2,2708.3,30939.22652
AF,pKSh2,2506,15116.27907
AF,pKSh2,2507,43103.44828
AF,pKSh2,2507,16799.29266
AF,pKSh2,2509,16485.90022
AF,pKSh2,2511.3,5022.097228
AF,pKSh2,2708.3,35359.11602
AF,pKSh2,2506,58139.53488
AF,pKSh2,2507,71839.08046
AF,pKSh2,2507,11494.25287
AF,pKSh2,2509,24945.77007
AF,pKSh2,2511.3,16070.71113
AF,pKSh2,2708.3,79558.01105
AF,pKSh2,2506,37790.69767
AF,pKSh2,2507,30946.06543
AF,pKSh2,2507,79575.59682
AF,pKSh2,2509,39045.55315
BT,pKSh5,2686,1656.409585
BT,pKSh5,2687,377.1481044
BT,pKSh5,2707,1834.49651
BT,pKSh5,2708,668.6046512
BT,pKSh5,2523.3,0
BT,pKSh5,2686-2523,292155.9598
BT,pKSh5,2686,9802.933089
BT,pKSh5,2687,1848.025712
BT,pKSh5,2707,2388.667331
BT,pKSh5,2708,16297.23837
BT,pKSh5,2523.3,0
BT,pKSh5,2686-2523,9709.110446
BT,pKSh5,2686,5692.025665
BT,pKSh5,2687,4048.056321
BT,pKSh5,2707,2579.760718
BT,pKSh5,2708,6089.078073
BT,pKSh5,2523.3,600.8359457
BT,pKSh5,2686-2523,50310.84504
PP,pBLlSh2,2300.2,3188.662533
PP,pBLlSh2,2686.2,1458.966565
PP,pBLlSh2,2300.2,2480.070859
PP,pBLlSh2,2544,2670.057216
PP,pBLlSh2,2300.2,6023.029229
PP,pBLlSh2,2542,0
PP,pBLlSh2,2708,3052.325581
PP,pBLlSh2,Vio,177.7777778
PP,pBLlSh2,Vio,0
PP,pBLlSh2,Vio,22933.33333
PP,pBLlSh2,2686.2,733.2722273
PP,pBLlSh2,2686.2,76993.58387
PP,pBLlSh2,2686.2,2841.429881
PP,pBLlSh2,2687.2,1101.928375
PP,pBLlSh2,2687.2,1101.928375
PP,pBLlSh2,2687.2,1469.237833
PP,pBLlSh2,2300.5,23467.17961
PP,pBLlSh2,2300.5,35489.30031
PP,pBLlSh2,2300.5,14234.19091
PP,pBLlSh2,2688,3147.198993
PP,pBLlSh2,2688,269.7599137
PP,pBLlSh2,2688,3776.638791
PP,pBLlSh2,2708,60913.70558
PP,pBLlSh2,2708,3158.488438
PP,pBLlSh2,2708,3722.50423
PP,pBLlSh2,2655,3569.70574
PP,pBLlSh2,2655,578.8712012
PP,pBLlSh2,2655,3087.313073
PP,pBLlSh2,2656,2103.049422
PP,pBLlSh2,2656,2226.758211
PP,pBLlSh2,2656,247.417579
